Andhra Pradesh,published,Karnataka,Kerala,Tamil Nadu,Telangana,Bengaluru,Chennai,Coimbatore,Delhi,Hyderabad,Kochi,Kolkata,Mumbai,Kozhikode,Madurai,Mangaluru,Puducherry,Thiruvananthapuram,Tiruchirapalli,Vijayawada,Visakhapatnam,Lucknow,Pune,Chandigarh,Ludhiana,Gujarat,Dehradun,Indore,Jaipur,Noida,Patna,Ranchi,National,Bangalore,Ahemdabad,Allahabad,Bhubaneswar,Gurgaon,Guwahati,Hubli,Kanpur,Mangalore,Mysore,Goa,Nagpur,Rajkot,Surat,Vadodara,Varanasi,Thane,Maharashtra,Jammu and Kashmir
,"Wed, 29 Dec 2021 23:28:23 +0530",https://www.thehindu.com/news/national/karnataka/temples-will-be-freed-from-restrictions-on-revenue-use/article38066859.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 23:27:32 +0530",https://www.thehindu.com/news/national/karnataka/not-hiking-price-ceiling-for-tender-works-riles-scst-contractors-group/article38066857.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 23:27:10 +0530",https://www.thehindu.com/news/national/karnataka/eying-150-seats-bjp-goes-for-micromanagement/article38066847.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 23:14:55 +0530",https://www.thehindu.com/news/national/karnataka/rewind-2021-troubled-year-for-hospitality-retail-and-entertainment-industries/article38066683.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 21:56:14 +0530",https://www.thehindu.com/news/national/karnataka/no-support-for-bandh-call-chandargi/article38066125.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 21:33:11 +0530",https://www.thehindu.com/news/national/karnataka/tie-conference-focuses-on-entrepreneurial-ecosystem-in-mysuru/article38065838.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 22:07:29 +0530",https://www.thehindu.com/news/national/karnataka/officials-seal-80-illegal-resorts-in-koppal-district/article38065812.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 20:49:55 +0530",https://www.thehindu.com/news/national/karnataka/covaxin-shelf-life-private-hospitals-worried-over-getting-expired-stocks-relabelled/article38065442.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 20:17:15 +0530",https://www.thehindu.com/news/national/karnataka/asi-hampi-asked-to-propose-world-heritage-status-for-buddhist-site-at-sannati/article38065135.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, 29 Dec 2021 21:58:57 +0530",https://www.thehindu.com/news/national/karnataka/covid-19-karnataka-reports-566-new-cases-six-deaths/article38065104.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
